Average reception service time (min),Average nurse service time(min),Average cubicle service time(hours),Average bed service time(hours),Average reception queue time(min),Average nurse queue time(min),Average cubicle queue time(min),Average bed queue time(min),Total time operating(days),Total patients,Total deceased,Total recovered,Ration deceased,Ratio recovered,Total ratio,Receptionist bill ($),Nurse bill ($),Cubicle bill ($),Bed bill ($),Total expenditure ($),Total revenue ($),Total profit ($)
7.36,25.43,0.94,2.78,1.95,9.74,4.3,11.48,7.0,294,81.0,213.0,0.2755102040816326,0.7244897959183674,1.0,22679.53,70558.53,161276.63,483829.9,738344.58,2205000,1466655.42
6.45,25.59,0.89,2.92,1.76,7.89,1.85,7.82,7.0,290,68.0,222.0,0.23448275862068965,0.7655172413793103,1.0,22671.62,70533.93,161220.42,483661.26,738087.24,2175000,1436912.76
6.96,24.84,1.0,3.19,2.83,7.68,1.56,18.56,6.95,316,73.0,243.0,0.2310126582278481,0.7689873417721519,1.0,22517.98,70055.93,160127.85,480383.55,733085.31,2370000,1636914.69
7.03,27.87,1.01,2.72,1.63,7.67,4.6,5.47,6.98,309,79.0,230.0,0.255663430420712,0.7443365695792881,1.0,22615.5,70359.32,160821.31,482463.93,736260.06,2317500,1581239.94
7.95,25.48,0.92,3.17,2.02,3.86,2.81,37.56,7.0,294,62.0,232.0,0.2108843537414966,0.7891156462585034,1.0,22672.17,70535.65,161224.33,483673.0,738105.15,2205000,1466894.85
6.71,24.15,0.97,3.15,1.85,3.35,1.23,7.61,6.99,276,86.0,190.0,0.3115942028985507,0.6884057971014492,1.0,22637.37,70427.38,160976.87,482930.62,736972.25,2070000,1333027.75
7.37,25.66,0.92,3.12,1.82,4.38,2.47,15.13,6.93,279,79.0,200.0,0.2831541218637993,0.7168458781362007,1.0,22450.66,69846.49,159649.11,478947.34,730893.59,2092500,1361606.41
7.76,27.17,0.95,3.19,2.25,10.69,9.56,38.38,6.99,322,98.0,224.0,0.30434782608695654,0.6956521739130435,1.0,22631.47,70409.02,160934.89,482804.68,736780.06,2415000,1678219.94
6.52,28.33,1.05,3.09,1.81,8.45,3.73,13.65,6.99,288,68.0,220.0,0.2361111111111111,0.7638888888888888,1.0,22646.5,70455.77,161041.76,483125.28,737269.3,2160000,1422730.7
6.88,26.47,1.08,2.9,1.89,3.92,3.19,12.93,6.97,283,62.0,221.0,0.21908127208480566,0.7809187279151943,1.0,22581.27,70252.83,160577.89,481733.67,735145.65,2122500,1387354.35
6.56,26.26,1.05,2.92,1.75,5.6,4.43,4.53,7.0,295,89.0,206.0,0.3016949152542373,0.6983050847457627,1.0,22679.18,70557.44,161274.14,483822.42,738333.18,2212500,1474166.82
6.62,23.52,1.08,3.04,1.52,3.59,6.11,23.8,7.0,303,75.0,228.0,0.24752475247524752,0.7524752475247525,1.0,22677.82,70553.21,161264.49,483793.47,738289.0,2272500,1534211.0
7.49,25.5,1.06,3.3,1.92,4.1,2.64,12.8,7.0,263,61.0,202.0,0.23193916349809887,0.7680608365019012,1.0,22664.08,70510.46,161166.76,483500.29,737841.58,1972500,1234658.42
6.77,25.12,0.94,2.94,1.82,6.74,2.9,13.92,7.0,314,86.0,228.0,0.27388535031847133,0.7261146496815286,1.0,22663.89,70509.89,161165.47,483496.41,737835.67,2355000,1617164.33
7.06,23.52,1.13,3.02,2.69,4.12,8.61,18.8,6.99,312,85.0,227.0,0.2724358974358974,0.7275641025641025,1.0,22662.86,70506.69,161158.15,483474.44,737802.14,2340000,1602197.86
7.49,30.17,1.04,3.05,1.71,13.19,6.33,20.7,6.99,317,67.0,250.0,0.2113564668769716,0.7886435331230284,1.0,22634.08,70417.13,160953.45,482860.35,736865.01,2377500,1640634.99
7.04,21.88,1.04,3.03,1.76,3.77,7.37,31.84,6.99,313,86.0,227.0,0.2747603833865815,0.7252396166134185,1.0,22647.74,70459.62,161050.56,483151.69,737309.61,2347500,1610190.39
7.0,26.66,0.86,2.79,1.92,4.08,1.99,2.1,6.99,288,79.0,209.0,0.2743055555555556,0.7256944444444444,1.0,22652.26,70473.71,161082.76,483248.29,737457.03,2160000,1422542.97
7.49,24.87,1.01,3.05,2.63,5.9,3.48,14.53,6.93,270,66.0,204.0,0.24444444444444444,0.7555555555555555,1.0,22467.75,69899.65,159770.64,479311.91,731449.95,2025000,1293550.05
6.63,24.0,0.99,2.93,1.7,5.08,7.07,23.86,7.0,303,82.0,221.0,0.2706270627062706,0.7293729372937293,1.0,22678.91,70556.6,161272.24,483816.72,738324.47,2272500,1534175.53
7.19,24.59,0.91,3.43,2.41,5.64,3.05,20.6,6.99,299,75.0,224.0,0.2508361204013378,0.7491638795986622,1.0,22640.38,70436.74,160998.26,482994.79,737070.18,2242500,1505429.82
6.61,26.06,1.01,2.88,1.82,3.3,1.78,6.21,6.98,300,76.0,224.0,0.25333333333333335,0.7466666666666667,1.0,22603.54,70322.12,160736.27,482208.8,735870.73,2250000,1514129.27
7.27,25.88,1.03,2.92,1.88,5.08,2.46,11.58,6.98,308,70.0,238.0,0.22727272727272727,0.7727272727272727,1.0,22611.38,70346.5,160792.0,482376.01,736125.9,2310000,1573874.1
