general_totalTime,general_totalPatients,proportion_CriticalPatients,proportion_UrgentPatients,proportion_ModeratePatients,proportion_LowPatients,proportion_NonUrgentPatients,proportion_totalPatientsDeclinedAccess,arrival_waitingTime_average,arrival_waitingTime_total,reception_serviceTime_duration_average,reception_serviceTime_duration_total,reception_waitingInQueue_duration_average,reception_waitingInQueue_duration_total,nurse_proportion_moderatePatients,nurse_proportion_lowPatients,nurse_serviceTime_duration_moderate_average,nurse_serviceTime_duration_moderate_total,nurse_serviceTime_duration_low_average,nurse_serviceTime_duration_low_total,nurse_waitingInQueue_duration_moderate_average,nurse_waitingInQueue_duration_moderate_total,nurse_waitingInQueue_duration_low_average,nurse_waitingInQueue_duration_low_total,nurse_revaluations_moderate_toCritical,nurse_revaluations_moderate_toUrgent,nurse_revaluations_moderate_toModerate,nurse_revaluations_moderate_toLow,nurse_revaluations_moderate_toNon-urgent,nurse_revaluations_low_toCritical,nurse_revaluations_low_toUrgent,nurse_revaluations_low_toModerate,nurse_revaluations_low_toLow,nurse_revaluations_low_toNon-urgent,doctor_proportion_totalPatients,doctor_proportion_criticalPatients,doctor_proportion_urgentPatients,doctor_proportion_moderatePatients,doctor_proportion_lowPatients,doctor_serviceTime_duration_critical_average,doctor_serviceTime_duration_critical_total,doctor_serviceTime_duration_urgent_average,doctor_serviceTime_duration_urgent_total,doctor_serviceTime_duration_moderate_average,doctor_serviceTime_duration_moderate_total,doctor_serviceTime_duration_low_average,doctor_serviceTime_duration_low_total,doctor_waitingInQueue_duration_critical_average,doctor_waitingInQueue_duration_critical_total,doctor_waitingInQueue_duration_urgent_average,doctor_waitingInQueue_duration_urgent_total,doctor_waitingInQueue_duration_moderate_average,doctor_waitingInQueue_duration_moderate_total,doctor_waitingInQueue_duration_low_average,doctor_waitingInQueue_duration_low_total,doctor_assesment_criticalEnterHospitalRatio,doctor_assesment_urgentEnterHospitalRatio,doctor_assesment_moderateEnterHospitalRatio,doctor_assesment_lowEnterHospitalRatio,financials_entryRate,financials_revenue_total,financials_revenue_perPatientAverage,financials_expenses_total,financials_expenses_perPatientAverage,financials_profit_total,financials_profit_perPatientAverage
19946.099621239573,9277,0.060687722324027166,0.16524738600840788,0.47181200819230357,0.19262692680823543,0.10973375013474183,0.0,1.995416174552244,18511.475851321167,3.020778286481018,28023.760163684405,3.697605806691571,34302.689068677704,0.7179290213550469,0.2820709786449531,3.6374869980627538,16997.97674194725,4.4039761722273285,8085.700252209374,0.05577697764332509,260.64581652725815,0.1560478069186639,286.50377350266695,0.020329552749839504,0.023967472715600256,0.9206077466295741,0.032313289107639635,0.0027819387973464582,0.0,0.014161220043572984,0.04084967320261438,0.8910675381263616,0.05392156862745098,8260,0.06815980629539951,0.18559322033898304,0.5299031476997579,0.21634382566585955,5.0955604979272815,2868.8005603330594,6.958618936597664,10667.56282980422,10.165533907697984,44494.54191399408,10.050924889114441,17961.002776847505,0.4645916729221767,261.5651118551855,0.5985418379649425,917.5646376002569,1.247350389452892,5459.652654635308,3.2300638286428054,5772.124061784693,0.9857904085257548,0.9582517938682322,0.4354580763079735,0.0923335198656967,0.4765549207718012,3483200,375.46620674787107,241660.136489579,26.04938412089889,3241539.863510421,349.4168226269722
19808.062905384813,9263,0.062290834502860846,0.16387779337147793,0.4706898413041131,0.19432149411637697,0.11022346971823384,0.0,1.983312953648189,18371.427889643175,2.9554234991205224,27376.0878723534,3.451132816885072,31967.84328280642,0.716630868364529,0.283369131635471,3.5693980006520185,16672.65806104558,4.44942442738845,8218.086917386467,0.05833623719984205,272.4885639604622,0.06055780308822076,111.85026230394374,0.02076643117105545,0.027617212588310854,0.9197174052665382,0.027403125669021623,0.00449582530507386,0.0,0.018408229561451002,0.034650785056848946,0.9052517596101787,0.041689225771521385,8255,0.06989703210175652,0.1838885523924894,0.5281647486371895,0.2180496668685645,4.958832107749441,2861.246126171427,7.104059848414259,10783.962849892845,10.00257437846216,43611.22429009502,9.650337291664101,17370.607124995382,0.5161231036448858,297.8030308030991,0.546916270481895,830.2188985915166,1.0614112881839677,4627.753216482099,2.472983562458431,4451.370412425176,0.9930675909878682,0.9604743083003953,0.43922018348623854,0.10388888888888889,0.48094569793803305,3504850,378.37093814099103,239884.4120272037,25.89705408908601,3264965.5879727965,352.47388405190503
20009.679938979,9324,0.05898755898755899,0.15926640926640925,0.47147147147147145,0.1984126984126984,0.1122908622908623,0.0,1.9918795469109987,18572.284895398152,2.9487351786881297,27494.00680608812,3.155007020618133,29417.28546024347,0.7098634294385432,0.29013657056145675,3.6563009879122066,17104.176021453302,4.558580654158741,8716.006210751511,0.0706635559899613,330.56411492103894,0.14219330509130845,271.87359933458174,0.019452757588713124,0.023300555793073965,0.9247541684480547,0.02672082086361693,0.005985463873450192,0.0,0.010460251046025104,0.036610878661087864,0.9021966527196653,0.05073221757322176,8281,0.06641709938413234,0.17932616833715734,0.5308537616229924,0.2234029706557179,5.284348435299004,2906.3916394144526,7.01881972180965,10422.94728688733,10.092446820324401,44366.39622214607,10.157857498796913,18792.036372774288,0.453170237036831,249.24363037025705,0.4880012787413403,724.6818989308904,0.979958550096375,4307.897786223664,1.9038602900995896,3522.1415366842407,0.9872727272727273,0.9542087542087542,0.4642857142857143,0.10162162162162162,0.48294723294723296,3482900,373.54139854139856,242462.086674647,26.004084799940692,3240437.913325353,347.53731374145787
20165.709601380415,9273,0.06082174053704303,0.16132858837485173,0.4689960099212768,0.193141378194759,0.1162514827995255,0.0,2.01958277173748,18727.591042321652,2.9843489610766887,27673.867916064133,3.5953166473914466,33339.37127126088,0.7197471866810544,0.2802528133189456,3.6063362847567983,16837.984113529492,4.54243747900823,8258.151336836961,0.06768041418512219,315.9998538303355,0.13176910818880014,239.55623868723865,0.021632041122295994,0.02120368387234954,0.9203255515099593,0.030627543371171555,0.006211180124223602,0.0,0.0121012101210121,0.028602860286028604,0.9064906490649065,0.052805280528052806,8200,0.06878048780487805,0.1824390243902439,0.5303658536585366,0.21841463414634146,5.141461085310946,2899.784052115374,7.040214460394177,10532.160832749689,10.095304616149987,43904.47977563629,10.044394180497507,17989.509977271035,0.5337396061304599,301.02913785757937,0.584830564850761,874.9065250167384,1.1099117414878394,4827.0061637306135,2.4784123902418576,4438.836590923167,0.9929078014184397,0.9358288770053476,0.4469993101862497,0.09715242881072027,0.47352528847190767,3450300,372.08023293432547,244344.6374974849,26.350117275691243,3205955.3625025153,345.73011565863425
20053.13876282681,9258,0.0650248433786995,0.16472240224670556,0.4665154461006697,0.19140203067617195,0.11352343918772953,0.0,2.010718291654571,18615.229944138016,3.0297416397366956,28049.348100682328,4.3356202694124475,40139.17245422044,0.7147729034258254,0.28522709657417455,3.6344323107985232,16758.36738509199,4.52562959280094,8327.15845075373,0.0628515197565052,289.8083575972455,0.09937200804132458,182.84449479603722,0.02255476035567122,0.024072869225764477,0.9193233571893299,0.029060941227499457,0.00520494469746259,0.0,0.00923913043478261,0.043478260869565216,0.8902173913043478,0.057608695652173914,8218,0.07325383304940375,0.18556826478461913,0.5255536626916525,0.21562423947432466,5.5181582923577,3321.931291999336,6.543529537778165,9978.8825451117,10.085258152611345,43558.2299611284,10.131537393296757,17953.084260921853,0.45339468469072763,272.94360018381803,0.520173680345068,793.2648625262286,1.253460090669489,5413.694131601523,3.926561260943023,6957.866554391037,0.9867109634551495,0.9429508196721311,0.45010419078490393,0.09537246049661399,0.48217757615035645,3512150,379.3637934759127,243099.07864614733,26.25827161872406,3269050.921353853,353.1055218571887
19798.798675407106,9246,0.060783041315163315,0.16212416179969716,0.4687432403201384,0.19684187756867835,0.1118321436296777,0.0,1.9858125216655227,18360.822575319424,3.056032680782706,28256.078166516898,4.6808670448095855,43279.29669630943,0.7131687873677756,0.28683121263222444,3.686908355914313,17151.497671713383,4.6932346293526335,8781.041991518778,0.09278646701716044,431.64264456383034,0.10733176609283569,200.81773435969558,0.02300085984522786,0.02880481513327601,0.9163800515907137,0.0264402407566638,0.005588993981083405,0.0005344735435595938,0.008017103153393906,0.03794762159273116,0.9070016034206306,0.046499198289684664,8215,0.06841144248326232,0.18247108947048082,0.5275715155203895,0.2215459525258673,5.12343741906349,2879.3718295136814,7.034621562562291,10544.897722280875,10.035245130962318,43492.75239759069,10.071357047532443,18329.869826509046,0.506819196015815,284.83238816088806,0.5432690750736014,814.3603435353286,1.1252884143162987,4876.999987646838,3.4040216220093384,6195.319352056996,0.99644128113879,0.95263509006004,0.4533917858790955,0.10934065934065934,0.4863724853990915,3499150,378.4501406013411,240265.53461692075,25.98588953243789,3258884.4653830794,352.46425106890325
19886.078057106773,9306,0.05888673973780357,0.1647324306898775,0.4641091768751343,0.1975069847410273,0.11508704061895551,0.0,1.9822796699710405,18447.094608750504,2.9729789899666708,27666.54248062984,3.724595080670672,34661.08182072127,0.7121305418719212,0.2878694581280788,3.6241563215838286,16765.34714364679,4.473952626893011,8366.291412289931,0.07720929790288934,357.1702120987661,0.1045665838283198,195.53951175895804,0.017942066580198875,0.026588845654993514,0.9185041072200605,0.030912235192390836,0.006701253782965845,0.0005347593582887701,0.0074866310160427805,0.0374331550802139,0.9064171122994652,0.0481283422459893,8238,0.06652100024277738,0.18608885651857246,0.5242777373148823,0.2231124059237679,5.000011039114396,2740.006049434689,7.167416079494003,10987.648849864307,10.125827984926632,43733.451066898124,10.02534995242495,18426.593212557058,0.49425088440506587,270.8494846539761,0.6378153472589169,977.7709273479195,1.159855594319501,5009.416311865925,3.0600024498668135,5624.284502855203,0.9890510948905109,0.9517286366601435,0.4459365593887474,0.0941240478781284,0.47539222007307114,3469950,372.8723404255319,240799.49941922605,25.875725276082747,3229150.500580774,346.9966151494492
19678.14157548708,9280,0.06217672413793104,0.1668103448275862,0.4625,0.19741379310344828,0.11109913793103449,0.0,1.9654347496422897,18239.23447668045,3.044965993489576,28257.284419583262,4.633619859653889,42999.99229758809,0.710355486862442,0.28964451313755796,3.6791801464240113,16909.511952964756,4.27125050572847,8004.3234477351525,0.08931486893071959,410.49113760558726,0.11979650268666331,224.49864603480705,0.0195822454308094,0.028503046127067014,0.9151436031331592,0.03154917319408181,0.005221932114882507,0.0,0.0096051227321238,0.04589114194236926,0.9002134471718249,0.04429028815368197,8249,0.06994787246939023,0.18765911019517517,0.5203054915747364,0.22208752576069826,5.358215887161525,3091.6905668922,6.640008017296709,10278.732410775305,9.89307209067633,42461.06541318281,10.430463315393215,19108.60879380037,0.5662325512725248,326.71618208424684,0.567061437502272,877.8111052535171,1.235830247312105,5304.183421463555,2.946577460182211,5398.129907053811,0.9948006932409013,0.9547803617571059,0.46551724137931033,0.09388646288209607,0.4855603448275862,3518750,379.1756465517241,238652.66409569123,25.71688190686328,3280097.3359043086,353.4587646448608
20104.347654983572,9265,0.05871559633027523,0.16492174851592012,0.46637884511602806,0.1995682676740421,0.11106314085267134,0.0,2.0145665252761176,18664.958856683228,2.9555455043400922,27383.129097710953,3.8587585866310787,35751.39830513694,0.7105788423153693,0.2894211576846307,3.579719504876131,16566.941868566733,4.355290521536334,8209.72263309599,0.07980306653049132,369.3285919031139,0.11215311974227594,211.40863071419017,0.020743301642178046,0.02592912705272256,0.9172428694900605,0.03219533275713051,0.004105445116681072,0.0005305039787798408,0.010079575596816976,0.040318302387267906,0.9018567639257294,0.04774535809018567,8242,0.06600339723368115,0.185391895171075,0.5242659548653239,0.22433875272991993,4.9517789554016085,2693.767751738475,7.233655652282505,11053.025836687668,10.04872930174775,43420.55931285203,10.124502635850272,18720.205373687153,0.5067854298189161,275.6912738214903,0.5296504041390817,809.3058175245169,0.9917989730907494,4285.563362725128,2.652777688056742,4904.985945216917,0.9944852941176471,0.9489528795811518,0.4554501272853506,0.09085992428339643,0.4808418780356179,3474500,375.0134916351862,243492.5961235633,26.280906219488752,3231007.403876437,348.73258541569743
20025.080691879586,9296,0.05626075731497418,0.1615748709122203,0.47353700516351116,0.1922332185886403,0.11650172117039587,0.0,1.9996295994775388,18588.5567567432,3.0012074857119218,27899.224787178024,4.0058881710361325,37238.736437951884,0.7188073394495413,0.2811926605504587,3.5633919701421677,16751.50565163833,4.50914433892995,8292.316439292177,0.06815616478449736,320.4021306519221,0.09015943087866375,165.80319338586264,0.022761114656456072,0.021910231865560518,0.921931503935333,0.028079132099553285,0.005530738140821102,0.0,0.0070690592713431215,0.036976617727025554,0.8999456226209896,0.05600870038064165,8214,0.0636717798879961,0.18285853420988557,0.5359142926710494,0.2175553932310689,4.823066589664018,2522.4638263942816,6.728903801048137,10106.813509174302,10.136706874716566,44621.78366250233,9.770275545642964,17459.482400063975,0.49910917945317473,261.0341008540104,0.5599038052851117,840.9755155382379,1.1023417335378847,4852.508311033768,3.1312777080000243,5595.5932641960435,0.9923518164435946,0.9414114513981359,0.44547932757837344,0.09289311695579183,0.47084767641996556,3419100,367.8033562822719,242619.6260135562,26.099357359461727,3176480.373986444,341.70399892281023
